"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"1292304|e_gw1.38.144.1",NA,NA,NA,NA,2,NA,NA,NA
"1292308|e_gw1.38.56.1",NA,1,2,3,7,4,NA,11
"1292311|e_gw1.38.102.1",NA,NA,2,NA,NA,NA,NA,NA
"1292318|e_gw1.38.195.1",NA,NA,NA,2,NA,NA,NA,NA
"1292326|e_gw1.38.82.1",2,1,4,3,4,NA,NA,2
"1292341|e_gw1.38.69.1",NA,2,2,NA,NA,NA,2,NA
"1292342|e_gw1.38.70.1",NA,NA,4,2,2,NA,NA,2
"129239|CE129238_802",NA,NA,NA,NA,2,NA,NA,2
"1292407|e_gw1.39.69.1",NA,NA,NA,NA,NA,2,NA,NA
"1292429|e_gw1.39.135.1",NA,26,9,12,22,4,33,70
"1292434|e_gw1.39.150.1",NA,NA,1,NA,4,NA,1,NA
"1292457|e_gw1.39.22.1",NA,NA,2,NA,3,1,NA,3
"1292470|e_gw1.39.129.1",NA,NA,NA,NA,2,NA,2,2
"1292490|e_gw1.39.46.1",NA,NA,4,2,NA,3,NA,NA
"1292491|e_gw1.39.66.1",NA,NA,2,NA,NA,NA,NA,5
"1292523|e_gw1.40.77.1",NA,NA,4,NA,6,2,1,12
"1292531|e_gw1.40.55.1",NA,NA,NA,2,NA,NA,NA,2
"1292543|e_gw1.40.74.1",NA,NA,2,NA,NA,NA,NA,NA
"1292610|e_gw1.40.80.1",NA,NA,NA,NA,2,NA,NA,NA
"1292620|e_gw1.41.184.1",NA,NA,NA,NA,NA,2,NA,NA
"1292631|e_gw1.41.180.1",NA,NA,1,NA,NA,NA,NA,NA
"1292655|e_gw1.41.109.1",NA,NA,NA,NA,NA,NA,NA,2
"1292659|e_gw1.41.16.1",4,NA,NA,2,NA,NA,2,NA
"1292665|e_gw1.41.167.1",NA,NA,NA,NA,NA,NA,NA,2
"1292674|e_gw1.41.1.1",6,NA,6,20,25,11,5,35
"1292681|e_gw1.41.37.1",NA,NA,NA,4,NA,NA,NA,NA
"1292683|e_gw1.41.26.1",NA,7,18,6,4,14,13,18
"1292691|e_gw1.41.182.1",2,NA,NA,NA,2,NA,NA,NA
"1292693|e_gw1.41.160.1",NA,2,2,NA,NA,NA,NA,NA
"1292709|e_gw1.41.195.1",2,NA,7,15,6,10,NA,NA
"1292712|e_gw1.41.58.1",NA,NA,NA,NA,NA,NA,1,NA
"1292721|e_gw1.41.181.1",8,4,8,4,10,8,NA,5
"1292746|e_gw1.41.73.1",NA,2,4,1,NA,NA,2,2
"1292770|e_gw1.41.174.1",2,1,NA,1,NA,NA,NA,2
"1292785|e_gw1.41.21.1",23,5,22,15,30,6,8,54
"1292789|e_gw1.41.52.1",NA,1,NA,NA,NA,NA,NA,NA
"1292801|e_gw1.42.53.1",NA,NA,1,2,NA,NA,NA,NA
"1292894|e_gw1.42.140.1",NA,NA,4,NA,2,2,NA,NA
"1292898|e_gw1.42.108.1",NA,2,NA,2,4,NA,NA,2
"1292955|e_gw1.43.91.1",NA,35,12,10,23,33,2,58
"1292956|e_gw1.43.60.1",NA,NA,NA,2,NA,NA,NA,NA
"1292972|e_gw1.43.110.1",NA,1,1,3,NA,NA,NA,NA
"1292979|e_gw1.43.75.1",NA,1,NA,NA,NA,NA,2,NA
"1292984|e_gw1.43.119.1",NA,2,NA,NA,NA,NA,NA,NA
"1293023|e_gw1.43.175.1",2,5,2,NA,4,5,NA,3
"1293026|e_gw1.43.166.1",NA,NA,NA,NA,NA,NA,NA,1
"1293027|e_gw1.43.123.1",NA,NA,NA,2,NA,2,NA,NA
"1293028|e_gw1.43.46.1",NA,NA,NA,NA,NA,2,NA,NA
"1293051|e_gw1.44.129.1",NA,NA,2,NA,NA,2,NA,NA
"1293063|e_gw1.44.121.1",4,10,5,12,10,6,NA,12
"1293072|e_gw1.44.170.1",NA,2,NA,NA,NA,NA,NA,NA
"1293087|e_gw1.44.12.1",4,28,10,7,14,10,1,NA
"1293096|e_gw1.44.110.1",NA,15,1,8,4,NA,1,9
"1293100|e_gw1.44.81.1",NA,12,11,13,14,4,11,30
"1293103|e_gw1.44.3.1",NA,1,NA,NA,NA,NA,NA,NA
"1293108|e_gw1.44.35.1",NA,NA,2,6,NA,10,NA,NA
"1293197|e_gw1.44.126.1",NA,2,6,4,2,4,NA,10
"1293212|e_gw1.44.28.1",NA,1,NA,NA,NA,2,NA,NA
"1293221|e_gw1.45.62.1",NA,NA,3,NA,NA,NA,NA,3
"1293226|e_gw1.45.64.1",2,1,4,3,4,NA,NA,2
"1293277|e_gw1.45.88.1",NA,NA,NA,NA,NA,NA,NA,4
"1293286|e_gw1.45.112.1",2,12,4,18,17,9,NA,7
"1293331|e_gw1.45.72.1",NA,NA,4,2,2,NA,NA,2
"1293340|e_gw1.46.11.1",NA,NA,NA,NA,NA,NA,NA,2
"1293347|e_gw1.46.19.1",NA,2,NA,NA,NA,NA,NA,NA
"1293403|e_gw1.46.68.1",14,8,11,14,21,10,NA,20
"1293421|e_gw1.47.4.1",NA,3,NA,1,2,2,NA,21
"1293424|e_gw1.47.89.1",NA,25,12,4,14,6,NA,NA
"1293460|e_gw1.47.1.1",NA,NA,2,2,NA,NA,NA,NA
"1293470|e_gw1.47.60.1",NA,1,NA,8,11,NA,2,4
"1293501|e_gw1.47.80.1",NA,NA,NA,NA,NA,NA,3,NA
"1293560|e_gw1.48.47.1",NA,NA,NA,NA,2,NA,NA,NA
"1293564|e_gw1.48.7.1",NA,NA,NA,NA,2,NA,NA,NA
"1293575|e_gw1.48.95.1",NA,NA,2,NA,NA,NA,NA,NA
"1293606|e_gw1.48.78.1",NA,NA,NA,NA,2,NA,NA,NA
"1293608|e_gw1.49.90.1",NA,1,NA,NA,NA,NA,NA,NA
"1293633|e_gw1.49.51.1",NA,NA,2,NA,NA,NA,NA,NA
"1293656|e_gw1.49.48.1",NA,3,NA,NA,NA,NA,2,2
"1293657|e_gw1.49.94.1",NA,NA,NA,NA,NA,NA,NA,1
"1293658|e_gw1.49.31.1",NA,1,NA,NA,NA,NA,NA,NA
"1293685|e_gw1.49.86.1",NA,NA,NA,NA,NA,NA,NA,4
"1293691|e_gw1.49.97.1",NA,NA,2,NA,NA,NA,NA,NA
"1293732|e_gw1.50.10.1",NA,7,3,4,7,NA,6,9
"1293760|e_gw1.51.54.1",NA,2,NA,NA,NA,NA,NA,NA
"1293766|e_gw1.51.123.1",NA,NA,NA,2,NA,NA,NA,NA
"1293784|e_gw1.51.73.1",NA,2,NA,NA,NA,2,NA,NA
"1293790|e_gw1.51.163.1",NA,1,NA,NA,NA,1,NA,NA
"1293797|e_gw1.51.175.1",NA,2,1,NA,NA,2,1,4
"1293809|e_gw1.51.183.1",NA,2,NA,2,2,NA,NA,4
"1293859|e_gw1.51.189.1",NA,3,2,NA,2,NA,NA,NA
"1293880|e_gw1.51.114.1",NA,1,NA,NA,NA,2,NA,2
"1293902|e_gw1.51.56.1",NA,NA,2,NA,NA,NA,NA,NA
"1294046|e_gw1.53.115.1",2,NA,NA,NA,2,NA,NA,NA
"1294076|e_gw1.53.121.1",NA,3,NA,2,1,NA,NA,NA
"1294099|e_gw1.53.149.1",2,NA,NA,NA,NA,NA,NA,2
"1294140|e_gw1.53.89.1",NA,2,NA,NA,2,NA,NA,NA
"1294153|e_gw1.54.37.1",NA,NA,NA,NA,NA,NA,NA,4
"1294177|e_gw1.54.26.1",NA,NA,2,NA,NA,NA,NA,NA
"1294230|e_gw1.54.28.1",NA,NA,NA,NA,NA,NA,NA,2
"1294238|e_gw1.54.61.1",NA,NA,1,NA,NA,NA,NA,NA
"1294244|e_gw1.54.105.1",2,80,16,84,91,51,4,27
"1294267|e_gw1.55.105.1",NA,NA,NA,NA,NA,NA,NA,2
"1294339|e_gw1.55.39.1",NA,NA,1,NA,NA,NA,NA,NA
"1294352|e_gw1.55.171.1",NA,8,NA,2,8,2,NA,10
"1294368|e_gw1.55.179.1",NA,NA,2,NA,2,NA,NA,NA
"1294436|e_gw1.56.59.1",NA,2,2,NA,NA,NA,NA,NA
"1294481|e_gw1.56.140.1",NA,NA,1,2,NA,2,NA,NA
"1294499|e_gw1.56.143.1",NA,6,2,4,2,NA,NA,2
"1294500|e_gw1.56.30.1",NA,NA,NA,2,NA,NA,NA,NA
"1294580|e_gw1.57.94.1",NA,NA,NA,NA,2,NA,NA,NA
"1294590|e_gw1.57.92.1",NA,NA,NA,2,2,2,NA,NA
"1294623|e_gw1.57.36.1",NA,NA,NA,NA,NA,1,NA,NA
"1294662|e_gw1.58.44.1",NA,NA,1,NA,2,1,NA,NA
"1294664|e_gw1.58.90.1",NA,NA,NA,NA,4,NA,NA,4
"1294694|e_gw1.58.99.1",NA,NA,NA,NA,NA,NA,1,2
"1294730|e_gw1.58.17.1",NA,NA,NA,NA,NA,2,NA,NA
"1294752|e_gw1.59.86.1",NA,NA,NA,NA,NA,NA,NA,2
"1294767|e_gw1.59.51.1",NA,NA,NA,NA,NA,NA,NA,2
"1294810|e_gw1.60.27.1",NA,NA,2,2,2,NA,NA,NA
"1294824|e_gw1.60.36.1",NA,NA,1,2,NA,2,NA,NA
"1294830|e_gw1.60.117.1",NA,NA,NA,4,NA,2,NA,NA
"1294833|e_gw1.60.131.1",NA,1,NA,NA,2,2,NA,NA
"1294851|e_gw1.60.67.1",NA,NA,2,2,NA,NA,NA,NA
"1294859|e_gw1.60.129.1",2,NA,3,NA,NA,NA,NA,NA
"1294875|e_gw1.60.77.1",NA,NA,NA,NA,2,1,2,NA
"1294886|e_gw1.60.71.1",NA,NA,NA,NA,2,NA,1,2
"1294903|e_gw1.60.17.1",NA,NA,NA,2,NA,NA,NA,NA
"1295135|e_gw1.63.112.1",NA,5,5,2,10,14,NA,12
"1295161|e_gw1.63.14.1",NA,NA,NA,NA,NA,NA,NA,2
"1295185|e_gw1.63.21.1",NA,4,NA,NA,NA,NA,3,NA
"1295199|e_gw1.63.9.1",NA,NA,2,NA,2,NA,NA,NA
"1295200|e_gw1.63.18.1",6,21,42,11,40,7,63,77
"1295206|e_gw1.64.131.1",6,NA,6,20,25,11,5,35
"1295235|e_gw1.64.100.1",NA,6,2,4,4,NA,2,NA
"1295244|e_gw1.64.20.1",NA,NA,3,NA,NA,NA,NA,NA
"1295251|e_gw1.64.92.1",NA,NA,NA,NA,NA,NA,NA,2
"1295275|e_gw1.64.64.1",6,NA,NA,NA,NA,NA,NA,1
"1295298|e_gw1.65.81.1",2,2,2,1,2,NA,2,1
"1295315|e_gw1.65.58.1",NA,NA,NA,NA,NA,NA,1,NA
"1295328|e_gw1.65.33.1",NA,NA,NA,NA,2,NA,NA,4
"1295354|e_gw1.65.15.1",NA,NA,1,NA,NA,NA,NA,NA
"1295394|e_gw1.66.79.1",NA,NA,2,NA,NA,NA,NA,2
"1295440|e_gw1.66.94.1",NA,4,NA,NA,NA,NA,1,2
"1295459|e_gw1.66.56.1",NA,NA,NA,NA,NA,NA,NA,2
"1295463|e_gw1.66.66.1",NA,NA,2,NA,NA,2,NA,NA
"1295471|e_gw1.66.16.1",5,4,NA,3,4,5,NA,NA
"1295494|e_gw1.67.101.1",4,NA,2,NA,2,1,NA,NA
"1295504|e_gw1.67.63.1",NA,1,2,NA,NA,NA,NA,NA
"1295514|e_gw1.67.19.1",NA,3,2,2,2,4,NA,NA
"1295524|e_gw1.67.79.1",NA,2,NA,NA,1,NA,NA,NA
"1295538|e_gw1.67.38.1",NA,NA,NA,2,NA,NA,NA,NA
"1295681|e_gw1.69.1.1",NA,NA,NA,NA,NA,NA,NA,2
"1295686|e_gw1.69.63.1",NA,NA,NA,NA,2,NA,NA,NA
"1295728|e_gw1.70.53.1",NA,NA,NA,NA,NA,NA,NA,2
"1295740|e_gw1.70.38.1",NA,NA,NA,NA,NA,NA,NA,2
"1295742|e_gw1.70.83.1",NA,2,NA,NA,NA,NA,NA,NA
"1295791|e_gw1.71.20.1",NA,3,1,NA,NA,NA,NA,NA
"1295812|e_gw1.71.65.1",NA,NA,NA,NA,2,NA,NA,NA
"1295872|e_gw1.72.38.1",NA,NA,NA,NA,NA,NA,NA,2
"1296014|e_gw1.74.23.1",NA,NA,NA,NA,NA,NA,2,NA
"1296028|e_gw1.74.64.1",NA,NA,NA,NA,2,NA,NA,NA
"1296029|e_gw1.74.51.1",NA,2,NA,1,NA,NA,NA,NA
"1296113|e_gw1.76.6.1",NA,2,16,8,14,2,19,10
"1296116|e_gw1.76.16.1",NA,NA,4,NA,NA,2,NA,NA
"1296123|e_gw1.76.13.1",NA,1,4,NA,NA,NA,1,NA
"1296163|e_gw1.76.55.1",NA,4,NA,NA,NA,NA,NA,NA
"1296195|e_gw1.77.112.1",2,258,72,37,35,47,234,331
"1296210|e_gw1.77.74.1",NA,2,NA,NA,NA,NA,2,NA
"1296272|e_gw1.78.54.1",NA,NA,1,NA,1,NA,NA,NA
"1296281|e_gw1.78.33.1",NA,NA,NA,NA,NA,NA,NA,2
"1296418|e_gw1.80.53.1",NA,2,1,1,NA,2,NA,2
"1296422|e_gw1.80.71.1",NA,NA,NA,NA,2,NA,NA,NA
"1296443|e_gw1.80.48.1",NA,2,1,NA,NA,NA,NA,NA
"1296469|e_gw1.81.27.1",NA,NA,NA,NA,2,NA,NA,NA
"1296490|e_gw1.81.39.1",NA,7,4,13,4,NA,2,6
"1296508|e_gw1.81.81.1",NA,NA,NA,NA,NA,NA,NA,2
"1296559|e_gw1.82.15.1",NA,2,NA,NA,2,NA,1,NA
"1296571|e_gw1.82.25.1",NA,1,NA,NA,NA,NA,NA,NA
"1296581|e_gw1.82.70.1",NA,NA,5,2,5,2,NA,2
"1296691|e_gw1.84.44.1",NA,1,NA,NA,NA,NA,NA,NA
"1296719|e_gw1.84.26.1",NA,NA,NA,NA,NA,NA,NA,2
"1296754|e_gw1.85.39.1",NA,2,NA,NA,NA,NA,NA,NA
"1296777|e_gw1.85.49.1",NA,NA,1,2,1,4,2,2
"1296789|e_gw1.85.10.1",6,42,18,25,33,48,3,10
"1296811|e_gw1.85.43.1",NA,NA,NA,NA,NA,2,NA,NA
"1296816|e_gw1.85.5.1",NA,NA,NA,2,NA,NA,2,NA
"1296817|e_gw1.85.91.1",NA,NA,NA,NA,NA,NA,NA,2
"1296818|e_gw1.85.93.1",NA,NA,NA,NA,2,NA,NA,NA
"1296847|e_gw1.86.79.1",NA,NA,NA,2,NA,2,NA,NA
"1296875|e_gw1.86.59.1",NA,2,NA,NA,NA,NA,NA,NA
"1296886|e_gw1.86.30.1",NA,NA,NA,NA,NA,2,NA,2
"1296900|e_gw1.86.15.1",NA,2,2,7,8,6,NA,10
"1296914|e_gw1.87.36.1",NA,1,2,NA,NA,NA,NA,NA
"1296987|e_gw1.88.17.1",4,2,4,7,5,NA,NA,NA
"1296992|e_gw1.89.58.1",2,NA,NA,2,4,NA,NA,5
"1296994|e_gw1.89.5.1",NA,3,NA,2,NA,NA,NA,1
"1297007|e_gw1.89.55.1",NA,NA,2,2,NA,NA,NA,NA
"1297039|e_gw1.89.39.1",NA,NA,NA,2,2,NA,NA,NA
"1297057|e_gw1.90.44.1",NA,1,6,1,2,NA,NA,2
"1297103|e_gw1.90.22.1",NA,2,2,2,NA,NA,NA,6
"1297111|e_gw1.91.39.1",NA,3,NA,NA,1,NA,2,2
"1297199|e_gw1.92.82.1",NA,2,NA,NA,NA,NA,NA,2
"1297202|e_gw1.92.71.1",NA,NA,NA,NA,NA,NA,2,NA
"1297222|e_gw1.92.58.1",NA,NA,2,NA,6,NA,NA,2
"1297238|e_gw1.92.83.1",NA,NA,NA,NA,NA,NA,NA,2
"1297243|e_gw1.92.38.1",NA,NA,NA,2,NA,NA,NA,NA
"1297246|e_gw1.92.30.1",NA,1,NA,2,NA,NA,NA,NA
"1297348|e_gw1.93.101.1",NA,NA,NA,2,NA,NA,NA,1
"1297504|e_gw1.96.34.1",NA,NA,2,2,NA,NA,NA,NA
"1297505|e_gw1.96.81.1",NA,5,5,2,10,14,NA,12
"1297530|e_gw1.96.56.1",NA,NA,NA,NA,2,NA,NA,NA
"1297547|e_gw1.96.70.1",8,10,6,14,6,13,1,4
"1297549|e_gw1.97.59.1",4,NA,NA,2,NA,4,NA,NA
"1297583|e_gw1.97.50.1",NA,2,NA,2,NA,NA,NA,NA
"1297597|e_gw1.97.25.1",NA,2,NA,2,NA,NA,NA,NA
"1297610|e_gw1.98.6.1",NA,NA,NA,NA,2,NA,NA,NA
"1297632|e_gw1.98.30.1",NA,1,NA,NA,NA,NA,NA,NA
"1297633|e_gw1.98.87.1",NA,NA,6,2,NA,2,NA,4
"1297698|e_gw1.99.9.1",NA,2,NA,NA,NA,NA,NA,NA
"1297708|e_gw1.99.27.1",NA,2,NA,1,NA,NA,NA,NA
"1297777|e_gw1.100.41.1",NA,12,5,NA,10,2,NA,1
"1297779|e_gw1.100.25.1",4,21,21,2,29,20,8,24
"129786|CE129785_861",NA,NA,NA,NA,NA,NA,NA,4
"1298036|e_gw1.105.4.1",NA,NA,NA,NA,NA,2,NA,NA
"1298040|e_gw1.105.25.1",NA,NA,NA,NA,2,NA,NA,NA
"1298260|e_gw1.111.25.1",2,NA,NA,2,NA,NA,NA,NA
"1298285|e_gw1.111.5.1",NA,1,NA,NA,NA,NA,NA,NA
"1298574|e_gw1.117.36.1",NA,NA,NA,2,8,3,NA,5
"1298591|e_gw1.117.55.1",NA,1,NA,NA,2,NA,3,NA
"1298594|e_gw1.117.44.1",NA,2,2,NA,2,NA,NA,NA
"1298597|e_gw1.117.21.1",NA,1,NA,NA,NA,NA,NA,NA
"1298603|e_gw1.117.37.1",NA,NA,NA,2,NA,NA,NA,NA
"1298616|e_gw1.117.30.1",NA,42,19,22,34,48,3,10
"1298856|e_gw1.123.26.1",NA,6,NA,NA,NA,NA,1,NA
"1298861|e_gw1.123.13.1",NA,NA,NA,NA,NA,1,NA,2
"1298885|e_gw1.123.40.1",NA,NA,NA,NA,NA,NA,2,NA
"1298894|e_gw1.124.4.1",NA,NA,2,NA,3,NA,1,2
"1298980|e_gw1.126.35.1",NA,1,NA,2,NA,NA,NA,NA
"1298991|e_gw1.126.10.1",NA,NA,NA,NA,2,2,NA,NA
"1298993|e_gw1.126.12.1",NA,NA,1,NA,NA,NA,NA,NA
"1299004|e_gw1.126.41.1",NA,1,2,6,2,NA,2,NA
"1299009|e_gw1.126.11.1",NA,1,NA,NA,NA,NA,NA,NA
"1299035|e_gw1.127.20.1",NA,NA,NA,1,NA,NA,NA,NA
"1299119|e_gw1.129.42.1",NA,1,NA,NA,NA,NA,NA,NA
"1299246|e_gw1.133.34.1",NA,1,NA,NA,3,1,NA,7
"1299282|e_gw1.134.19.1",NA,NA,NA,NA,NA,NA,NA,2
"1299292|e_gw1.134.12.1",NA,NA,NA,NA,6,NA,NA,4
"1299397|e_gw1.138.53.1",NA,NA,NA,NA,NA,NA,NA,2
"1299423|e_gw1.138.24.1",2,NA,3,NA,NA,NA,NA,NA
"1299426|e_gw1.139.30.1",NA,NA,NA,2,NA,NA,NA,NA
"1299446|e_gw1.139.8.1",NA,NA,NA,NA,2,NA,NA,NA
"1299451|e_gw1.139.34.1",NA,NA,2,NA,NA,NA,NA,NA
"1299479|e_gw1.141.4.1",NA,NA,2,NA,NA,NA,NA,NA
"1299582|e_gw1.144.23.1",NA,NA,NA,NA,NA,NA,NA,2
"1299842|e_gw1.152.13.1",NA,2,NA,NA,NA,NA,NA,NA
"1299863|e_gw1.152.6.1",NA,25,12,4,14,6,NA,NA
"1300082|e_gw1.159.7.1",NA,NA,2,NA,NA,NA,NA,NA
"1300105|e_gw1.159.14.1",NA,2,NA,NA,NA,NA,NA,NA
"1300465|e_gw1.170.9.1",NA,NA,2,NA,NA,NA,NA,NA
"1300510|e_gw1.172.17.1",18,4,6,5,32,1,24,NA
"1300619|e_gw1.177.11.1",NA,NA,2,NA,NA,NA,NA,NA
"130072|CE130071_7353",NA,1,NA,NA,NA,2,NA,4
"1300864|e_gw1.188.8.1",NA,NA,NA,NA,NA,NA,NA,7
"1300871|e_gw1.188.3.1",2,NA,NA,NA,NA,NA,NA,NA
"1300878|e_gw1.189.2.1",NA,NA,NA,NA,2,NA,NA,2
"1300934|e_gw1.192.28.1",2,NA,7,2,10,4,2,9
"1300958|e_gw1.192.27.1",NA,NA,NA,NA,2,NA,NA,NA
"1301074|e_gw1.197.2.1",NA,NA,NA,NA,1,NA,NA,NA
"1301211|e_gw1.202.3.1",NA,NA,NA,2,NA,NA,NA,NA
"1301304|e_gw1.207.15.1",NA,NA,NA,NA,NA,NA,2,NA
"1301783|e_gw1.229.28.1",NA,NA,NA,NA,NA,NA,1,NA
"1301793|e_gw1.229.21.1",NA,3,2,NA,NA,NA,NA,1
"1301912|e_gw1.236.6.1",NA,NA,NA,4,2,NA,NA,4
"1302070|e_gw1.248.2.1",NA,2,1,NA,NA,NA,NA,NA
"1302176|e_gw1.256.2.1",NA,2,1,NA,2,NA,NA,NA
"1303196|e_gw1.371.6.1",NA,NA,NA,NA,2,NA,NA,NA
"1303228|e_gw1.376.2.1",NA,2,NA,NA,NA,NA,NA,NA
"1303233|e_gw1.377.2.1",NA,NA,NA,NA,NA,NA,2,NA
"1303368|e_gw1.415.1.1",NA,3,NA,NA,NA,NA,NA,2
"132158|CE132157_1767",NA,NA,NA,NA,2,NA,NA,NA
"134636|CE134635_2137",NA,NA,NA,NA,2,NA,NA,NA
"13530|CE13529_1725",NA,NA,1,6,NA,NA,NA,NA
"136320|CE136319_11235",NA,NA,NA,NA,NA,2,NA,NA
"136778|CE136777_13542",NA,2,2,4,4,2,NA,2
"136794|CE136793_1268",NA,NA,2,NA,NA,NA,NA,NA
"136840|CE136839_15636",NA,NA,NA,1,1,1,NA,2
"13690|CE13689_89785",NA,2,2,NA,NA,1,NA,NA
"137195|CE137194_10660",NA,NA,NA,NA,8,NA,4,NA
"137309|CE137308_5550",1,NA,NA,NA,NA,NA,NA,NA
"138013|CE138012_22016",NA,1,2,NA,NA,NA,NA,2
"138578|CE138577_47826",NA,NA,NA,NA,NA,NA,2,NA
"138635|CE138634_27891",NA,NA,NA,2,4,2,2,NA
"139719|CE139718_1040",NA,1,NA,NA,NA,NA,NA,NA
"140226|CE140225_18270",NA,NA,NA,NA,NA,2,NA,NA
"140760|CE140759_530",NA,NA,NA,2,NA,NA,NA,NA
"140977|CE140976_3543",NA,1,NA,NA,NA,NA,NA,2
"1417|CE1416_766",NA,NA,NA,2,NA,NA,NA,2
"142380|CE142379_412",NA,NA,NA,NA,NA,NA,NA,2
"142796|CE142795_1066",NA,NA,NA,NA,2,NA,NA,NA
"142915|CE142914_3390",NA,1,NA,NA,NA,NA,NA,NA
"1434074|fgenesh1_pg.1_#_1",NA,NA,2,NA,4,NA,NA,NA
"1434080|fgenesh1_pg.1_#_7",NA,NA,NA,NA,1,NA,NA,NA
"1434107|fgenesh1_pg.1_#_34",NA,NA,NA,NA,NA,NA,NA,1
"1434121|fgenesh1_pg.1_#_48",NA,NA,NA,NA,NA,NA,NA,2
"1434123|fgenesh1_pg.1_#_50",NA,1,NA,NA,NA,NA,NA,2
"1434124|fgenesh1_pg.1_#_51",NA,3,2,2,NA,NA,NA,NA
"1434130|fgenesh1_pg.1_#_57",NA,2,NA,NA,NA,NA,NA,NA
"1434133|fgenesh1_pg.1_#_60",NA,2,NA,NA,2,NA,NA,NA
"1434134|fgenesh1_pg.1_#_61",NA,NA,NA,NA,NA,NA,NA,2
"1434141|fgenesh1_pg.1_#_68",NA,NA,2,NA,NA,NA,NA,NA
"1434146|fgenesh1_pg.1_#_73",NA,NA,NA,NA,2,NA,2,NA
"1434155|fgenesh1_pg.1_#_82",NA,1,NA,NA,NA,NA,NA,NA
"1434169|fgenesh1_pg.1_#_96",NA,4,2,1,NA,NA,NA,NA
"1434177|fgenesh1_pg.1_#_104",NA,NA,NA,1,NA,NA,NA,NA
"1434180|fgenesh1_pg.1_#_107",20,2,4,10,34,4,25,13
"1434215|fgenesh1_pg.1_#_142",NA,NA,NA,NA,NA,NA,1,NA
"1434219|fgenesh1_pg.1_#_146",NA,1,2,NA,NA,NA,NA,NA
"1434244|fgenesh1_pg.1_#_171",NA,NA,NA,NA,2,5,2,4
"1434247|fgenesh1_pg.1_#_174",NA,1,NA,2,4,NA,NA,NA
"1434250|fgenesh1_pg.1_#_177",NA,NA,NA,NA,NA,NA,2,NA
"1434252|fgenesh1_pg.1_#_179",2,NA,NA,NA,NA,NA,1,6
"1434262|fgenesh1_pg.1_#_189",NA,NA,NA,2,NA,NA,NA,NA
"1434280|fgenesh1_pg.1_#_207",NA,NA,NA,NA,NA,1,NA,2
"1434283|fgenesh1_pg.1_#_210",NA,NA,2,NA,NA,NA,NA,NA
"1434292|fgenesh1_pg.1_#_219",4,2,NA,4,2,NA,NA,NA
"1434300|fgenesh1_pg.1_#_227",NA,NA,NA,2,NA,NA,NA,NA
"1434309|fgenesh1_pg.1_#_236",NA,NA,NA,NA,NA,NA,NA,4
"1434310|fgenesh1_pg.1_#_237",NA,NA,NA,NA,2,NA,NA,NA
"1434331|fgenesh1_pg.1_#_258",NA,10,24,20,33,12,118,153
"1434332|fgenesh1_pg.1_#_259",NA,NA,NA,NA,NA,NA,NA,1
"1434341|fgenesh1_pg.1_#_268",NA,2,NA,NA,NA,NA,1,NA
"1434382|fgenesh1_pg.1_#_309",NA,NA,NA,NA,NA,2,NA,NA
"1434416|fgenesh1_pg.1_#_343",NA,2,NA,NA,NA,2,NA,NA
"1434448|fgenesh1_pg.1_#_375",NA,NA,NA,NA,NA,NA,NA,2
"1434450|fgenesh1_pg.1_#_377",NA,NA,NA,NA,NA,NA,NA,1
"1434461|fgenesh1_pg.1_#_388",NA,NA,2,NA,2,NA,NA,NA
"1434464|fgenesh1_pg.1_#_391",NA,NA,NA,2,NA,NA,NA,NA
"1434471|fgenesh1_pg.1_#_398",1,NA,NA,2,2,NA,NA,NA
"1434474|fgenesh1_pg.1_#_401",NA,95,79,4,16,14,NA,NA
"1434512|fgenesh1_pg.1_#_439",NA,2,NA,NA,2,NA,1,NA
"1434595|fgenesh1_pg.1_#_522",NA,NA,NA,1,NA,NA,NA,NA
"1434608|fgenesh1_pg.1_#_535",NA,7,4,NA,2,NA,NA,NA
"1434618|fgenesh1_pg.1_#_545",NA,2,NA,NA,NA,NA,NA,NA
"1434622|fgenesh1_pg.1_#_549",NA,NA,NA,2,NA,NA,NA,3
"1434626|fgenesh1_pg.1_#_553",NA,1,NA,NA,NA,NA,NA,NA
"1434683|fgenesh1_pg.1_#_610",NA,NA,NA,NA,NA,NA,NA,1
"1434700|fgenesh1_pg.1_#_627",NA,NA,1,NA,NA,NA,NA,NA
"1434705|fgenesh1_pg.1_#_632",NA,2,2,2,3,NA,NA,NA
"1434740|fgenesh1_pg.1_#_667",2,2,NA,NA,NA,NA,NA,NA
"1434747|fgenesh1_pg.1_#_674",2,9,5,18,18,12,8,13
"1434809|fgenesh1_pg.1_#_736",NA,41,63,21,48,2,260,88
"1434823|fgenesh1_pg.1_#_750",NA,2,NA,NA,NA,NA,NA,NA
"1434842|fgenesh1_pg.1_#_769",2,NA,NA,NA,3,NA,NA,NA
"1434851|fgenesh1_pg.1_#_778",NA,NA,4,NA,8,4,NA,9
"1434853|fgenesh1_pg.1_#_780",NA,NA,NA,2,3,NA,NA,NA
"1434859|fgenesh1_pg.1_#_786",NA,NA,2,NA,NA,NA,NA,NA
"1434863|fgenesh1_pg.1_#_790",NA,NA,2,NA,NA,2,NA,NA
"1434869|fgenesh1_pg.1_#_796",NA,NA,NA,NA,2,NA,NA,2
"1434898|fgenesh1_pg.2_#_9",NA,NA,NA,NA,2,NA,NA,NA
