"ID","12142020-cnf-1","12172020cl3","12182020cl1","12192020cml1","12202020","12212020","12232020cp","12252020cp2f"
"105716|CE105715_14165",NA,NA,NA,NA,NA,5,5,NA
"1057228|CE1057227_1591",NA,NA,NA,NA,2,NA,NA,NA
"1057362|CE1057361_1142",NA,NA,2,NA,NA,NA,2,NA
"1057447|CE1057446_750",NA,NA,NA,NA,NA,NA,NA,1
"1057539|CE1057538_800",NA,1,NA,NA,2,NA,2,NA
"1058137|CE1058136_6238",NA,NA,NA,1,2,NA,NA,NA
"1058534|CE1058533_1075",NA,NA,NA,NA,2,NA,NA,NA
"1058574|CE1058573_162",NA,1,NA,NA,2,NA,NA,NA
"1058868|CE1058867_4534",NA,NA,2,NA,2,NA,NA,4
"1059359|CE1059358_7352",NA,1,NA,NA,NA,NA,2,NA
"1059948|CE1059947_5269",2,4,1,NA,NA,2,NA,NA
"1060249|CE1060248_9580",NA,1,NA,NA,NA,NA,NA,NA
"106146|CE106145_15405",NA,1,NA,NA,NA,2,4,NA
"1061729|CE1061728_5614",NA,NA,NA,NA,NA,NA,2,NA
"1061983|CE1061982_11351",NA,2,NA,NA,NA,4,2,NA
"1062788|CE1062787_29961",NA,2,NA,4,2,2,NA,NA
"1063525|CE1063524_2309",12,2,NA,4,8,8,NA,8
"1063775|CE1063774_446",NA,NA,1,NA,NA,NA,NA,NA
"106388|CE106387_18930",NA,2,6,NA,1,NA,NA,11
"1063977|CE1063976_3963",NA,3,NA,NA,1,NA,1,4
"10658|CE10657_1629",NA,NA,NA,NA,NA,NA,2,NA
"1066716|CE1066715_1004",NA,NA,NA,NA,1,NA,NA,NA
"106918|CE106917_6154",NA,NA,2,NA,2,4,NA,4
"1069448|CE1069447_210",NA,NA,NA,NA,NA,NA,NA,2
"106951|CE106950_5678",NA,NA,NA,NA,NA,NA,NA,1
"1071495|CE1071494_10830",NA,2,1,NA,NA,NA,NA,NA
"1072973|CE1072972_14035",NA,1,1,2,4,NA,NA,7
"1073671|CE1073670_916",2,NA,NA,NA,NA,NA,NA,NA
"1073694|CE1073693_13645",NA,4,NA,2,2,1,NA,3
"1073715|CE1073714_5302",2,4,NA,NA,4,NA,NA,NA
"1074270|CE1074269_8915",NA,NA,NA,NA,NA,NA,2,NA
"1074309|CE1074308_1120",NA,NA,NA,2,NA,NA,NA,NA
"1075150|CE1075149_1924",NA,NA,NA,NA,NA,4,NA,NA
"1075217|CE1075216_2013",1,NA,2,2,3,NA,NA,NA
"1075381|CE1075380_3510",NA,NA,NA,NA,NA,NA,4,NA
"1075612|CE1075611_27153",NA,NA,2,NA,NA,NA,NA,NA
"1075830|CE1075829_9269",NA,NA,NA,NA,4,NA,NA,NA
"1076343|CE1076342_18238",NA,2,NA,NA,4,6,NA,2
"107635|CE107634_2063",NA,2,NA,NA,2,NA,2,NA
"1076466|CE1076465_5720",NA,NA,NA,NA,NA,NA,NA,2
"1076584|CE1076583_1941",NA,NA,NA,NA,NA,2,NA,NA
"1076867|CE1076866_3585",NA,NA,NA,NA,2,NA,2,NA
"1076986|CE1076985_1139",NA,NA,NA,NA,NA,NA,NA,2
"1077015|CE1077014_425",2,NA,NA,2,NA,NA,NA,NA
"1077691|CE1077690_17748",NA,2,NA,NA,NA,NA,NA,2
"1077942|CE1077941_5549",NA,22,29,17,17,NA,9,11
"1078136|CE1078135_1103",30,17,16,20,26,4,NA,NA
"1080074|CE1080073_1751",NA,2,NA,1,1,3,2,NA
"1080090|CE1080089_22384",NA,NA,NA,3,NA,NA,NA,NA
"1080274|CE1080273_5122",NA,2,NA,NA,2,NA,NA,NA
"1080782|CE1080781_12986",NA,NA,NA,2,NA,1,NA,NA
"1081005|CE1081004_7330",NA,NA,1,NA,NA,NA,NA,NA
"1081402|CE1081401_412",NA,NA,NA,NA,NA,NA,2,NA
"108156|CE108155_15265",NA,NA,NA,2,NA,NA,NA,NA
"1083283|CE1083282_8603",NA,3,NA,4,NA,NA,NA,NA
"1084006|CE1084005_547",NA,2,NA,NA,NA,NA,NA,4
"1084030|CE1084029_1474",NA,NA,NA,4,NA,NA,NA,2
"1084364|CE1084363_32922",NA,2,NA,NA,NA,NA,NA,NA
"1084413|CE1084412_132",NA,1,NA,NA,NA,NA,NA,NA
"1085437|CE1085436_21021",NA,NA,10,15,2,4,2,8
"1086102|CE1086101_8191",NA,NA,NA,NA,NA,2,NA,NA
