(species=Irpex lackeys)(type=Full)(curator=GO)
1178371 = 5975
118131 = 8152
118131 = 8168
1181485 = 5839
1181485 = 6511
1181485 = 4299
1181485 = 4298
118256 = 16020
1187831 = 8796
1187831 = 16787
1187831 = 8828
1187831 = 43141
1187831 = 8413
1187831 = 810
1187831 = 8758
1187831 = 19177
1187831 = 19176
1187831 = 16462
1187831 = 4787
1189284 = 6508
1189284 = 4274
1189284 = 8236
119499 = 8270
119499 = 5634
119499 = 3676
119743 = 18738
120401 = 4375
120401 = 6544
120401 = 4374
1205221 = 3824
1205221 = 4663
1205512 = 8080
1205512 = 8152
120972 = 922
120972 = 5815
120972 = 226
1211852 = 3677
1214986 = 16021
1214986 = 8559
1214986 = 5524
1214986 = 16887
1214986 = 6810
1214986 = 17111
1214986 = 42626
1214986 = 166
1215172 = 8415
1215172 = 8152
1215172 = 9058
1215172 = 3824
1215172 = 16210
1219569 = 6350
1219569 = 3677
1219569 = 3700
1219569 = 6355
1219569 = 5634
1219569 = 8869
1219569 = 8270
12203 = 5515
12203 = 8270
12203 = 51440
12203 = 4842
12203 = 51438
12203 = 51444
12203 = 51443
122250 = 5525
122250 = 810
122250 = 4787
122250 = 8828
122250 = 19176
122250 = 8413
122250 = 8758
122250 = 16462
122250 = 8796
122250 = 43141
122250 = 19177
1226895 = 42254
1226895 = 30529
1226895 = 4693
1227585 = 16787
1227585 = 298
12281 = 4310
12281 = 16740
12281 = 8610
12281 = 16021
12281 = 9058
1228550 = 31072
1228611 = 4553
1228611 = 8422
1228611 = 5975
1229543 = 4221
1229543 = 6511
1229543 = 8270
1231768 = 4587
1231768 = 8483
1231768 = 30170
1243052 = 3676
1244355 = 5524
1244355 = 8026
1244355 = 3676
1244355 = 4386
1249024 = 3677
1249623 = 9003
1249623 = 16021
1249623 = 8234
1249623 = 6465
1249623 = 5792
1249623 = 5787
1252082 = 6118
1252082 = 8152
1252082 = 16491
1252082 = 4497
1252082 = 6725
1252082 = 18658
1253931 = 8270
1253931 = 5622
1253931 = 3676
1254329 = 5524
1254329 = 166
1254329 = 17111
1255043 = 3676
1255043 = 5524
1255043 = 4386
1255043 = 8026
1260422 = 16021
1260422 = 5777
1260422 = 16560
1265296 = 8440
1265296 = 50517
1270015 = 5515
1270079 = 31072
1270079 = 6457
1270079 = 51082
1275474 = 50662
1275474 = 43892
1275474 = 3824
1275474 = 44237
1275480 = 4489
1275480 = 6555
1275496 = 8270
1275496 = 3676
1275583 = 8262
1275583 = 5634
1275583 = 5737
1275583 = 6915
1275583 = 6886
1275583 = 59
1275583 = 8565
1275583 = 5488
1275583 = 5643
1275583 = 8283
1275596 = 6777
1275596 = 3919
1275874 = 6629
1275874 = 4806
1275939 = 6118
1275939 = 4497
1275939 = 5506
1275939 = 18664
1275939 = 20037
1275942 = 4772
1275976 = 166
1275976 = 6412
1275976 = 5524
1275976 = 4812
1275976 = 4827
1275976 = 6418
1275976 = 5737
1275976 = 6433
1276043 = 8233
1276043 = 6508
1276103 = 5743
1276103 = 15031
1276103 = 8565
1276105 = 4152
1276105 = 6222
1276105 = 4158
1276105 = 16020
1276105 = 6207
1276112 = 4758
1276112 = 9058
1276112 = 16769
1276112 = 30170
1276112 = 8152
1276112 = 16740
1276112 = 17059
1276123 = 5634
1276156 = 4040
1276156 = 16884
1276186 = 5515
1276186 = 16192
1276186 = 6461
1276186 = 6810
1276186 = 8565
1276186 = 30131
1276186 = 6886
1276209 = 31072
1276245 = 6950
1276269 = 6413
1276269 = 5737
1276269 = 3723
1276269 = 3743
1276279 = 8152
1276279 = 9374
1276279 = 3824
1276279 = 16874
1276279 = 5524
1276318 = 16491
1276318 = 6118
1276342 = 5509
1276342 = 16020
1276342 = 4571
1276456 = 4419
1276456 = 3824
1276489 = 19139
1276489 = 16491
1276489 = 3824
1276489 = 50660
1276530 = 6334
1276530 = 3677
1276530 = 786
1276530 = 5634
1276531 = 5506
1276531 = 20037
1276531 = 4096
1276531 = 6118
1276531 = 6979
1276656 = 6886
1276656 = 5622
1276727 = 5525
1276727 = 8549
1276727 = 3924
1276755 = 16597
1276755 = 8152
1276755 = 4072
1276755 = 8652
1276843 = 9055
1276843 = 5506
1276843 = 6118
1276843 = 20037
1276864 = 4553
1276864 = 4338
1276864 = 5975
1276895 = 8233
1276895 = 16020
1276895 = 8234
1276895 = 6508
1276895 = 6465
1276928 = 6355
1276928 = 3700
1276928 = 3677
1276928 = 8270
1276928 = 5634
1276928 = 6350
1276983 = 17111
1276983 = 5515
1276983 = 5524
1276983 = 5488
1276983 = 5777
1276983 = 7031
1276983 = 166
1276985 = 46983
1276985 = 16787
1276985 = 8237
1276985 = 6508
1277025 = 5543
1277076 = 19001
1277076 = 7186
1277076 = 4871
1277076 = 7165
1277094 = 51444
1277094 = 51440
1277094 = 51438
1277094 = 8380
1277094 = 4842
1277094 = 51443
1277138 = 7165
1277138 = 159
1277138 = 8601
1277203 = 8026
1277203 = 3676
1277203 = 4386
1277203 = 5524
1277214 = 5840
1277214 = 5622
1277214 = 3735
1277214 = 6412
1277222 = 16787
1277222 = 8152
1277251 = 5524
1277251 = 6468
