protein1	protein2	combined_score
YAL008W	YGL122C	315
YAL008W	YIL136W	315
YAL009W	YHR004C	985
YAL009W	YDL134C	720
YAL009W	YJL176C	596
YAL009W	YAL016W	720
YAL009W	YDR130C	720
YAL009W	YDL047W	720
YAL009W	YML024W	158
YAL009W	YER133W	720
YAL009W	YIL153W	540
YAL009W	YNL255C	315
YAL009W	YOR178C	720
YAL009W	YMR165C	746
YAL009W	YDL040C	616
YAL009W	YPL152W	720
YAL009W	YOR062C	540
YAL009W	YDR075W	720
YAL009W	YKL190W	720
YAL009W	YML057W	720
YAL009W	YER054C	720
YAL009W	YBR050C	720
YAL009W	YLR433C	720
YAL009W	YKL193C	720
YAL009W	YDL116W	276
YAL009W	YGL190C	720
YAL009W	YKR075C	540
YAL009W	YFR003C	540
YAL009W	YLR448W	236
YAL009W	YOR014W	360
YAL009W	YDR028C	720
YAL009W	YJR034W	305
YAL009W	YDR211W	595
YAL009W	YBL046W	720
YAL009W	YLR273C	720
YAL009W	YBL105C	465
YAL009W	YBR045C	720
YAL009W	YMR311C	540
YAL009W	YLR342W	482
YAL009W	YGL178W	307
YAL009W	YNL201C	720
YAL010C	YOR045W	720
YAL010C	YDL126C	720
YAL010C	YNL026W	928
YAL010C	YMR060C	884
YAL010C	YPL235W	478
YAL010C	YNL131W	876
YAL010C	YOR276W	315
YAL010C	YIR008C	195
YAL010C	YGR082W	720
YAL010C	YOL009C	992
YAL010C	YAL048C	879
YAL010C	YOL026C	293
YAL010C	YNL102W	195
YAL010C	YFL039C	275
YAL010C	YNL070W	849
YAL010C	YNL121C	720
YAL010C	YHR083W	854
YAL010C	YGL219C	996
YAL010C	YNR020C	315
YAL010C	YMR203W	905
YAL010C	YLL006W	975
YAL010C	YDR190C	155
YAL010C	YDR049W	720
YAL010C	YJL066C	603
YAL010C	YBR170C	720
YAL010C	YGL126W	273
YAL010C	YKL053C-A	568
YAL010C	YPR133W-A	720
YAL011W	YNL107W	955
YAL011W	YNL215W	720
YAL011W	YPL129W	900
YAL011W	YDL064W	315
YAL011W	YDR485C	966
YAL011W	YOL012C	525
YAL011W	YOR276W	315
YAL011W	YDL002C	900
YAL011W	YLR052W	900
YAL011W	YOR269W	299
YAL011W	YDR334W	965
YAL011W	YDR225W	315
YAL011W	YGL178W	307
YAL011W	YOR141C	720
YAL011W	YLL013C	315
YAL011W	YJL081C	956
YAL011W	YNL059C	900
YAL011W	YGL014W	315
YAL011W	YDL181W	286
YAL011W	YGR086C	321
YAL011W	YDR190C	974
YAL011W	YOR189W	900
YAL011W	YML041C	973
YAL011W	YEL044W	720
YAL011W	YDR224C	483
YAL011W	YJL127C	448
YAL011W	YFL039C	974
YAL011W	YLR385C	944
YAL011W	YBL007C	317
YAL011W	YER092W	720
YAL011W	YHR158C	293
YAL011W	YPL235W	956
YAL011W	YLR399C	931
YAL011W	YIR018W	286
YAL011W	YFL013C	900
YAL011W	YGR002C	946
YAL011W	YBR135W	315
YAL011W	YLR085C	958
YAL011W	YBR231C	964
YAL011W	YOR127W	354
YAL011W	YGL150C	900
YAL012W	YGR155W	704
YAL012W	YJR130C	265
YAL012W	YJL153C	183
YAL012W	YNL271C	315
YAL012W	YPL209C	404
YAL012W	YBR055C	284
YAL012W	YOL038W	183
YAL012W	YMR154C	224
YAL012W	YOR007C	265
YAL012W	YKL121W	173
YAL012W	YKL210W	463
YAL012W	YDR415C	476
YAL012W	YMR300C	765
YAL012W	YGR012W	197
YAL012W	YJR074W	315
YAL012W	YOL013C	295
